Nr,Tree name,product_category,Years,Business as usual,Combined effect,Compost,Technical and Market support,,,
1,Albizia gummifera,FuelWood,2037,0.062783095,0.07004192,0.067557797,0.064929155,,,
1,Albizia gummifera,FuelWood,2038,0.059706807,0.06710136,0.064639561,0.061930995,,,
1,Albizia gummifera,FuelWood,2039,0.059540559,0.066548725,0.064103255,0.061440799,,,
1,Albizia gummifera,FuelWood,2040,0.061199959,0.067997875,0.065441366,0.062493584,,,
1,Albizia gummifera,FuelWood,2041,0.06514634,0.07215063,0.069308837,0.06623813,,,
1,Albizia gummifera,FuelWood,2042,0.067861653,0.075743621,0.072793474,0.069762403,,,
1,Albizia gummifera,FuelWood,2043,0.066509312,0.075053853,0.072140429,0.068980888,,,
1,Albizia gummifera,FuelWood,2044,0.064106691,0.071937959,0.069165917,0.066119744,,,
1,Albizia gummifera,FuelWood,2045,0.062671163,0.070826627,0.06804556,0.064628097,,,
1,Albizia gummifera,FuelWood,2046,0.061211828,0.068968741,0.066280049,0.063001015,,,
1,Albizia gummifera,FuelWood,2047,0.063683335,0.071918436,0.069112887,0.065569031,,,
1,Albizia gummifera,FuelWood,2048,0.062934451,0.07137061,0.068661009,0.064836199,,,
1,Albizia gummifera,FuelWood,2049,0.068483378,0.07570324,0.072990723,0.07013841,,,
1,Albizia gummifera,FuelWood,2050,0.070596096,0.078817045,0.076137065,0.073734347,,,
1,Albizia gummifera,FuelWood,2051,0.067919189,0.075638662,0.073023932,0.070939183,,,
1,Albizia gummifera,FuelWood,2052,0.065968364,0.072883326,0.070232112,0.068791405,,,
1,Albizia gummifera,FuelWood,2053,0.063340798,0.069193874,0.066683491,0.065488162,,,
1,Albizia gummifera,FuelWood,2054,0.065773089,0.071206099,0.068570485,0.067267101,,,
1,Albizia gummifera,FuelWood,2055,0.065801448,0.071246959,0.068562449,0.067081482,,,
1,Albizia gummifera,FuelWood,2056,0.064335995,0.069866078,0.067220492,0.065664831,,,
